url,name,height,weight,reach,stance,dob
http://ufcstats.com/fighter-details/6e743a33d56bdaa4,Payton Talbott,5.833333333,135,70,Switch,9/9/1998
http://ufcstats.com/fighter-details/9cdd2da1a9104a0b,Macy Chiasson,5.916666667,135,72,Orthodox,7/27/1991
http://ufcstats.com/fighter-details/eb70e786bbdf1d16,Yanis Ghemmouri,5.75,135,69,Orthodox,1/24/1995
http://ufcstats.com/fighter-details/cc8c623cca88f54f,Mayra Bueno Silva,5.5,135,66,Orthodox,8/22/1991
http://ufcstats.com/fighter-details/8eb046f83e82bf26,Martin Buday,6.333333333,265,77,Orthodox,11/11/1991
http://ufcstats.com/fighter-details/3738e68d2261e60f,Andrei Arlovski,6.25,240,77,Orthodox,2/4/1979
http://ufcstats.com/fighter-details/f166e93d04a8c274,Diego Lopes,5.916666667,145,72,Orthodox,12/30/1994
http://ufcstats.com/fighter-details/def8166ff24bd237,Brian Ortega,5.666666667,145,69,Switch,2/21/1991
http://ufcstats.com/fighter-details/eb04b9d31e938edb,Michelle Waterson-Gomez,5.25,115,62,Orthodox,1/6/1986
http://ufcstats.com/fighter-details/18d01f7f8338ae72,Vinicius Oliveira,5.75,135,70,Switch,11/30/1995
http://ufcstats.com/fighter-details/5987b2458f4b5290,Ricky Simon,5.5,135,69,Orthodox,8/31/1992
http://ufcstats.com/fighter-details/442c9011034ae1fd,Ian Machado Garry,6.25,170,74,Orthodox,11/17/1997
http://ufcstats.com/fighter-details/38c7f72747f4f712,Gillian Robertson,5.416666667,115,63,Orthodox,5/17/1995
http://ufcstats.com/fighter-details/f1d64ae34e088832,Charles Jourdain,5.75,145,69,Switch,11/27/1995
http://ufcstats.com/fighter-details/a67d071163962af8,Michael Page,6.25,170,79,Switch,4/7/1987
http://ufcstats.com/fighter-details/52ef95b5860fb28c,Jean Silva,5.583333333,145,69,Orthodox,12/27/1996
http://ufcstats.com/fighter-details/c1085e1701b13eca,Joe Pyfer,6.166666667,185,75,Orthodox,9/17/1996
http://ufcstats.com/fighter-details/d247691a6c0e9034,Cub Swanson,5.666666667,145,70,Orthodox,11/2/1983
http://ufcstats.com/fighter-details/2f43a3e82661fa99,Rei Tsuruya,5.5,125,68,Orthodox,6/22/2002
http://ufcstats.com/fighter-details/798e48f9e7f6ba22,Carlos Hernandez,5.666666667,125,67,Orthodox,10/25/1993
http://ufcstats.com/fighter-details/8fd808923cffff82,Andre Fili,5.916666667,145,74,Orthodox,6/25/1990
http://ufcstats.com/fighter-details/e5549c82bfb5582d,Alex Pereira,6.333333333,205,79,Orthodox,7/7/1987
http://ufcstats.com/fighter-details/009341ed974bad72,Jiri Prochazka,6.25,205,80,Orthodox,10/14/1992
http://ufcstats.com/fighter-details/8e9eb3fc86db0f7d,Marc-Andre Barriault,6.083333333,185,74,Orthodox,2/18/1990
http://ufcstats.com/fighter-details/d4c9dcd330403612,Anthony Smith,6.333333333,205,76,Orthodox,7/26/1988
http://ufcstats.com/fighter-details/86bace9e4ad85542,Xiao Long,5.666666667,135,70,Orthodox,4/13/1998
http://ufcstats.com/fighter-details/327d5f279895110d,Roman Dolidze,6.166666667,185,76,Orthodox,7/15/1988
http://ufcstats.com/fighter-details/117a06469813e4ef,ChangHo Lee,5.666666667,135,69,Orthodox,5/9/1994
http://ufcstats.com/fighter-details/e1147d3d2dabe1ce,Robert Whittaker,6,185,73,Orthodox,12/20/1990
http://ufcstats.com/fighter-details/279566840aa55bf2,Alexander Volkov,6.583333333,250,80,Orthodox,10/24/1988
http://ufcstats.com/fighter-details/b07aed698fba8624,Ikram Aliskerov,6,185,76,Southpaw,12/7/1992
http://ufcstats.com/fighter-details/f14cf73e51b29254,Sergei Pavlovich,6.25,257,84,Southpaw,5/13/1992
http://ufcstats.com/fighter-details/06734ca9d88dec3a,Shara Magomedov,6.166666667,185,73,Orthodox,5/16/1994
http://ufcstats.com/fighter-details/b7b84ccd221be298,Nasrat Haqparast,5.833333333,155,72,Southpaw,8/22/1995
http://ufcstats.com/fighter-details/7026eca45f65377b,Jared Gordon,5.75,155,68,Orthodox,9/6/1988
http://ufcstats.com/fighter-details/8d11d9c13e2ccdf7,Muhammad Naimov,5.75,145,70,Orthodox,8/7/1994
http://ufcstats.com/fighter-details/6d48a2df51749d91,Antonio Trocoli,6.416666667,185,80,Orthodox,12/6/1990
http://ufcstats.com/fighter-details/9256f591b30c073e,Felipe Lima,5.5,145,68,Orthodox,5/7/1998
http://ufcstats.com/fighter-details/8c0580d4fff106c1,Kelvin Gastelum,5.75,170,71,Southpaw,10/24/1991
http://ufcstats.com/fighter-details/8f765fd5775a8873,Rinat Fakhretdinov,6,170,74,Orthodox,9/28/1991
http://ufcstats.com/fighter-details/a54660deb6a8489c,Muin Gafurov,5.583333333,135,68,Southpaw,5/17/1996
http://ufcstats.com/fighter-details/a7897d200692ab64,Kyung Ho Kang,5.75,135,73,Orthodox,9/9/1987
http://ufcstats.com/fighter-details/6e344b71421103da,Magomed Gadzhiyasulov,6.166666667,205,75,Orthodox,11/4/1993
http://ufcstats.com/fighter-details/49edd0d90f60fb7d,Brendson Ribeiro,6.25,205,81,Orthodox,9/8/1996
http://ufcstats.com/fighter-details/8a1f3b5c526cd6e6,Daniel Rodriguez,6.083333333,170,74,Southpaw,12/31/1986
http://ufcstats.com/fighter-details/9d19d9e4aa2662e8,Nicolas Dalby,5.916666667,170,74,Orthodox,11/16/1984
http://ufcstats.com/fighter-details/c21f26bbde777573,Johnny Walker,6.5,205,82,Orthodox,3/30/1992
http://ufcstats.com/fighter-details/876f478f796495f7,Josh Quinlan,6,170,72,Orthodox,2/6/1993
http://ufcstats.com/fighter-details/0845c81e37d3bcb3,Volkan Oezdemir,6.166666667,205,75,Orthodox,9/19/1989
http://ufcstats.com/fighter-details/0e46690e55a8df75,Timmy Cuamba,5.75,145,71,Orthodox,2/8/1999
http://ufcstats.com/fighter-details/a01a62132460a98d,Adam Fugitt,6.083333333,170,77,Southpaw,1/12/1989
http://ufcstats.com/fighter-details/4461d7e47375a895,Tatsuro Taira,5.583333333,125,70,Orthodox,1/27/2000
http://ufcstats.com/fighter-details/ab2b4ff41d6ebe0f,Alex Perez,5.5,125,65,Orthodox,3/21/1992
http://ufcstats.com/fighter-details/710f0f8c5d5c9d41,Lucas Almeida,5.916666667,145,71,Orthodox,1/31/1991
http://ufcstats.com/fighter-details/20bccc9bb4ceb23e,Melquizael Costa,5.833333333,145,71,Southpaw,9/14/1996
http://ufcstats.com/fighter-details/3a314d9fa7c6825d,Douglas Silva de Andrade,5.583333333,135,68,Orthodox,6/22/1985
http://ufcstats.com/fighter-details/f1ab6f37492c630a,Carli Judice,5.583333333,125,68,Southpaw,3/2/1999
http://ufcstats.com/fighter-details/46e0d677f91bacc0,Miles Johns,5.583333333,135,66,Orthodox,3/30/1994
http://ufcstats.com/fighter-details/0a73acff6325c1e2,Shayilan Nuerdanbieke,5.666666667,145,69,Orthodox,5/4/1994
http://ufcstats.com/fighter-details/1effd880e1f1bb30,Garrett Armfield,5.5,135,70,Orthodox,10/9/1996
